,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature
235,0.629,0.823,1,-5.744,1,0.0597,0.35,0.039,0.0801,0.397,169.961,audio_features,4
236,0.782,0.771,11,-9.17,0,0.371,0.00983,0.000255,0.0747,0.368,114.988,audio_features,4
237,0.808,0.805,1,-3.392,1,0.103,0.00113,0.0585,0.193,0.886,107.965,audio_features,4
238,0.618,0.669,7,-7.457,1,0.0359,0.535,0.0,0.577,0.789,97.0,audio_features,4
239,0.563,0.508,1,-10.346,0,0.0497,0.225,0.0,0.0669,0.293,133.959,audio_features,4
240,0.648,0.59,2,-9.664,1,0.0942,0.697,0.808,0.111,0.401,81.045,audio_features,4
241,0.657,0.562,8,-8.6,1,0.0601,0.54,0.00143,0.101,0.704,81.657,audio_features,4
242,0.693,0.504,9,-11.621,1,0.0402,0.628,0.4,0.111,0.254,105.021,audio_features,4
243,0.586,0.893,7,-8.772,1,0.439,0.827,0.642,0.212,0.65,140.023,audio_features,3
244,0.614,0.809,9,-4.749,1,0.0738,0.0105,0.000353,0.148,0.354,112.023,audio_features,4
245,0.221,0.747,4,-5.45,1,0.0492,0.0171,0.0221,0.128,0.304,184.602,audio_features,3
246,0.726,0.481,11,-7.307,1,0.0381,0.0375,2.18e-05,0.0644,0.541,88.141,audio_features,4
247,0.605,0.57,10,-8.582,1,0.0458,0.384,2.35e-06,0.182,0.811,95.967,audio_features,4
248,0.756,0.397,7,-10.701,0,0.0522,0.57,0.0115,0.0542,0.507,101.985,audio_features,4
249,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,audio_features,4
250,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,audio_features,3
251,0.277,0.242,4,-18.442,1,0.0342,0.694,0.464,0.113,0.285,175.384,audio_features,3
252,0.572,0.282,0,-14.537,0,0.0662,0.894,0.893,0.0915,0.54,118.334,audio_features,4
253,0.696,0.538,11,-6.808,0,0.0904,0.117,0.157,0.108,0.615,93.07,audio_features,4
254,0.653,0.598,11,-6.928,1,0.113,0.0596,0.0,0.253,0.137,82.911,audio_features,4
255,0.486,0.504,8,-7.591,1,0.0283,0.0453,0.00135,0.695,0.34,89.523,audio_features,4
256,0.573,0.494,7,-8.938,0,0.0735,0.48,0.0259,0.121,0.762,149.883,audio_features,4
257,0.82,0.413,8,-8.164,1,0.0658,0.654,8.38e-05,0.144,0.575,115.544,audio_features,4
258,0.599,0.377,7,-9.829,1,0.105,0.441,0.00813,0.105,0.543,74.314,audio_features,4
259,0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041,audio_features,4
260,0.67,0.833,7,-8.365,1,0.0522,0.132,0.195,0.109,0.522,127.984,audio_features,4
261,0.611,0.824,9,-7.939,0,0.0412,0.326,0.0835,0.0995,0.83,87.985,audio_features,4
262,0.713,0.8,7,-5.938,0,0.0349,0.0491,7.96e-05,0.0921,0.814,139.942,audio_features,4
